Author,Message
tucks.,im back brothers
turtlee42,nice 👍
tucks.,free till september
careful_,<:PagChomp:808401624317689907>
tucks.,finished uni yesterday
tucks.,stream soon!
turtlee42,<@!260064252985999360> nice 👍
careful_,<:EZ:660823731538624512>
tucks.,r1 uk babyyy
tucks.,BOM
tucks.,
_nny,
careful_,<a:PepeLaugh:801415344710877204>
careful_,<@260064252985999360> nice upload
careful_,https://youtu.be/ebJ-BpPpcUk
__ted,<@!118128442725105665>
josha5043,what
madhunter1000,<@!429397528178327553> :/
Deleted User,zzz
Deleted User,til I actually play it and -.5
Deleted User,well that’s what I want u to think
Deleted User,Is actually good
Deleted User,Ur rec on there
ykdan,😬
weazr,😬
levizoom,😬
dreamsi,😬
tucks.,<:Sadge:728207178690854973>
tucks.,just give me this 1
tucks.,<@!187570516079542282> dude
levizoom,😬
tucks.,EPIC POGER
tucks.,https://youtu.be/BzseZ27wFbM
josha5043,tom is right
erksterr,Even if i'm on 100t and the rest is on 66t I don't stand a chance <:PepeHands:547215106904162327>
erksterr,Hahaha what a guy
levizoom,😬
caff,you got a fan
caff,<@!202206054539460608> https://i.imgur.com/kcbEKyq.png
dosta8971,home sweet home <:KKonaW:440202773301166099> <a:Clap:686782500592287878>
dosta8971,
careful_,wtf
strig1,<:LULW:715099414200320011>
strig1,True
dosta8971,even millionairs mansions in NA are cardboard <a:PepeLaugh:801415344710877204>
turtlee42,tell em pablo
iamwso,i mean sure but you don’t sit on 2 3080s but sit on garden furniture do you?
careful_,not everyone has millionaire family
dosta8971,but in cardboard house <a:PepeLaugh:801415344710877204>
careful_,but at least i dont live in a prison cell
careful_,he prob has a better pc then me
dosta8971,<:txcks2Head:747652783393734728>
lucitlm,"People that spend all their money on a setup but don’t fucking improve their living space, 2Head"
turtlee42,<@303318541720092672> keep it up
.sondre,prison life
erksterr,how does that even happen
levizoom,that is criminal
donoes,jesus christ it is
stormyy7461,the war trench
stormyy7461,they call it
ben_boo,holy fuck your floor is nasty
stormyy7461,dont mind the cable management
stormyy7461,mousepads scuffed
stormyy7461,wtf has happened here
stormyy7461,
talanwth,<:FeelsOkMan:623418914801451018>
tucks.,<@576230867287015424> too hungover lol
talanwth,<@!260064252985999360> why no weekend streams?
talanwth,🥁🥁🥁
skullgamer84,LET'S GET READY TO RUMBLEEEE
.exper,<@!218023354488061952> you ready to race
skullgamer84,actually huuuuge
tucks.,👀 ?
tucks.,<@!218023354488061952>
tucks.,all u
oxiics,<@!260064252985999360> singletons top10 inc https://gyazo.com/071e8d8756f496279e5891f971c5c94a
.giggles,Tux  when? 😘
merkycinq,When tux
.giggles,When lux
merkycinq,When lux
tucks.,For r2 lux
tucks.,<@161850874136625152> no u already sent hate mail to me
caff,<:louieiShibaSleep:744967105161723935>
caff,Do what you want
tucks.,But <@161850874136625152> will cancel me
tucks.,True actually
skullgamer84,flow is a tucks map anyways
.giggles,horizon <a:PepeLaugh:801415344710877204>
donuts42,surf_flow on horizon is maxvel
donuts42,<@!260064252985999360> i have a new map for you
donoes,I bhope soon
careful_,you suck
merkycinq,When do you rank up to surffer
levizoom,silver bhoper
donoes,Got rank 6 on mobile surf <:CutePoggers:656833535277269012>
donoes,
careful_,<a:pokiC2:775036848035987487>
turtlee42,<@260064252985999360> good job
pokimanesfeet,<a:pokiKiss:773931509824225300>
pokimanesfeet,gj tucky
tucks.,dw i will get smoked by simex in approx 1 hour
Deleted User,<:letsfuckinggo:750227806432133163>
Deleted User,[txcks] beat the map World Record on < surf_sandtrap2 > with time < 00:47:66 [-00:00:01] > in the Serverismyname Server on < = CS:S = > ]:
josha5043,"⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠿⠿⠿⠿⠿⠿⠿⠿⠿⠿⣿⡿⠿⠛⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣏⠉⠉⠉⠉⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣴⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣶⣶⣶⣶⣤⣤⣄⣀⣀⠀⠀⠀⠀⠀⠀⠀⠀⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣶⣶⣤⣀⠀⠀⠹⢿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⣤⣼
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠿⠿⠿⠿⠿⠛⠛⠛⠛⠛⠛⠛⣻⣿
⣯⣿⣿⣿⣿⣿⣿⣿⠿⠛⠛⠉⠉⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⣠⣾⡟⠛
⠿⠿⠿⠛⠋⠉⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣤⣾⠿⠟⠛⠉⠀⠀
⣀⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣾⣿⠁⠀⠀⠀⠀⠀⠀
⠿⢿⣿⣷⣦⣄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠹⣿⡆⠀⠀⠀⠀⠀⠀
⠀⠀⠈⠛⠛⢿⣿⡄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢠⣿⠇⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠘⢿⣶⣤⣶⣶⣶⣦⣄⣀⣠⣤⣶⣾⣿⣿⠋⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠈⠙⠻⣿⣿⣿⣿⣿⣿⣿⣿⠿⠋⠁⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⣻⠟⠋⠁⠀⠀⠀⠀⠀⠀⠀"
tucks.,and ye what a coincidence lol
tucks.,but hey atleast i got it
tucks.,<@!368485393672175626> really bad cpr tho :////////
fluuupsi,<@!260064252985999360> PogChamp you got sandtrap2 lets gooooooooo just after talking about it 😄
skullgamer84,<@215574608399564801> ye
lucitlm,Is that the two ramps back and forth and then up? <@218023354488061952>
skullgamer84,I actually thought old time was p much gg lol
tucks.,ez
skullgamer84,fuckin smashed it
skullgamer84,<@!260064252985999360>
Deleted User,https://tenor.com/view/kermit-the-frog-hanging-kill-gif-13667568
tucks.,<@456226577798135808> Yh choked a -19 lastnight
Deleted User,<@!260064252985999360> thinking of retaking any time soon?
Deleted User,"Top: surf_forbidden_ways_ksf [CSS]
1. 🇦🇺  Ignis - Jan 8, 2021
48.209
2. 🇬🇧  txcks - Oct 3, 2020
48.224 (+.015)"
dosta8971,<a:MODS:775043489922547752>
careful_,<:pokiBlush:787072414668029972>
careful_,I recommended milkyway
josha5043,<:pOg:755479977478062212>
mako__o,<:txcksPoggersHow:705466556296986634>
tucks.,<:peepoCheer:744348305571577927>
tucks.,https://www.youtube.com/watch?v=Q4HNexWA3U8&ab_channel=Draph
tucks.,<:extreme_joy:700829601395376288>
tucks.,Not much u
granis,you're the updog
granis,you
tucks.,What’s updog
tucks.,
granis,Wish I got that <:PepeHands:547215106904162327>
tucks.,<@124446795400085504>
tucks.,
granis,You mean djungelvrål?
tucks.,Did u get 1
granis,??
tucks.,Noob
tucks.,Imagine not getting Djungelskog lol
granis,Imagine not getting presents till the 25th lmao
tucks.,On 24th <a:PepeLaughing:560622921719218207>
granis,I'm celebrating Christmas rn so can't :)
tucks.,I don’t have pc rn so I can’t
tucks.,Nope I hadn’t
granis,Gotta do it with host_timescale and not the ksf timer timescale tho cuz they're different
granis,I'm guessing you've tested it out with low timescale and basically confirmed it already
tucks.,But I also suck XD
tucks.,I kinda wanna know for sure
tucks.,But it would make sense
granis,Idk shit about code stuff in source tho
granis,Sounds like it could be a thing
tucks.,This convo
tucks.,https://discord.com/channels/331531718383108099/331531718383108099/791339079941619752
tucks.,I’ll link
tucks.,Retype
tucks.,I cba to retune so
granis,You have peaked my interest
granis,Hmm
tucks.,I tried but idk what I’m looking for lol
tucks.,To prove a theory me n beetle have
tucks.,And go into source engine
tucks.,<@124446795400085504> do u wanna be a nerd in ur spare time
granis,"Search for ""dimensions source sdk"""
merkycinq,Googel
careful_,<:5Head:776724386043789312>
tucks.,How are u finding these stats
tucks.,<@124446795400085504>
merkycinq,Fat csgo player vs fit CSS player
granis,"virgin short css player 
vs
chad tall csgo player"
granis,"while we're on the topic of playermodels here's how tall you are ```Counter-Strike Source Crouched: 48
Counter-Strike Source Standing: 63
CS:GO Crouched: 55
CS:GO Standing: 73```"
granis,pretty sure its still 45 degree thing
granis,"upwards ramp is same thing, just its on x/z rather than x/y"
merkycinq,Requires more complicated math involving height of hitbox
merkycinq,The upwards ramp is fucked as well
tucks.,Gottem
tucks.,XD
granis,ez now do that in run
merkycinq,That's how much closer to the ramp you are on 45 degree angle
merkycinq,(46-33)/2
granis,thats how thicc you are
granis,"```
Width: 33 (Between collision surfaces oriented along the x or y axis.)
Width: 46 (Walls rotated 45 degrees to grid.)
```"
tucks.,<@473443323076542466> 7
merkycinq,Tell me width of player hitbox and it's easy
granis,i wanna make 1k
tucks.,With half off grid
tucks.,<@124446795400085504> can u make the first 2k maxvel map thx
tucks.,<:MEGALUL:742714002496553000>
tucks.,More
granis,🍆 💦
granis,😩
tucks.,Maxvel gives me boner and u know it
tucks.,<@124446795400085504> 😎
granis,maybe i should anglefix them for the csgo port 🤔
granis,lmao
granis,cant you calculate the playercollision differences while triangulating the angle of the ramp just before you hit it?
merkycinq,Tendies B1 also really fun if the off grid ramps weren't the most fucked thing to board ever
granis,git gud lol
josha5043,i fucking hate it
josha5043,i hate it
granis,must be like t7
granis,"<@!260064252985999360> just saw your tendies b3 run on that kreal compilation video, im actually so hyped that route is possible"
josha5043,thanks :D <@!100027612532838400> <:txcksL:743196059207204944>
.bazz,Good job <@429397528178327553> <:xqcL:721970299276492920>
josha5043,:O
josha5043,
careful_,<:OMEGALUL:453726962590941185>
careful_,true
Deleted User,it’s almost sub 56 tho
talanwth,lmao
careful_,"if you do dont gg it tho, i want a good cpr to try and retake"
careful_,<a:PepeLaughh:654912284849602560>
careful_,my run so bad
careful_,<@!260064252985999360> next time youre on csgo you should go sub 57 cyberwave on gfl
skullgamer84,he surfs displacement on the left and headhits the one on the right after
afonsowo,as if this wasnt aids enough
afonsowo,i was gonna say
tucks.,maybe he slightly touches it but its not good to do i dont think
tucks.,oh left side
afonsowo,15 seconds
afonsowo,mate
tucks.,where
afonsowo,or am i tripping
afonsowo,bump into a rock
afonsowo,does he not
tucks.,that he cut low?
tucks.,wat about it
afonsowo,before 1st headhit
tucks.,huh
afonsowo,wish i could time travel 10 secs ago when i didnt know the existence of this moment in his run
afonsowo,https://youtu.be/yiu4hhG3Fjc?t=15
afonsowo,<@!260064252985999360>
ben_boo,Great lineup ngl
mako__o,<:POGGERS:733369086511284315>
mako__o,https://youtu.be/7eiSs2AX71A
tucks.,https://www.youtube.com/watch?v=Ocf05xQOCqM&ab_channel=iksem7
Deleted User,https://tenor.com/view/pingu-dance-dancing-grooving-gif-5751250
careful_,<:OMEGALUL:453726962590941185>
Deleted User,sry caps
Deleted User,I CAN DO BETTR
granis,now i just gotta upload the sh run
tucks.,thats me babyyyyyy
donuts42,gamer
donuts42,<@!260064252985999360> https://youtu.be/d4IHG7NK7I0
granis,https://streamable.com/uru7us
tucks.,<a:AE_KomaJeanneDance:752860089672663101>
tucks.,https://youtu.be/l3x_Eb33k-I
tucks.,<@155061271534895104> baby
nyannix,<@!260064252985999360> star
tucks.,i ended up getting it
turtlee42,oh ok
josha5043,cannonball
turtlee42,what map is that
josha5043,<:txcksPogO:743878206674698240>
tucks.,have have i choked end again then lol
tucks.,
flam__,that was rape
flam__,that doesnt fall under taking recs
careful_,<:peepoWtfSad:738972288933822566>
careful_,Stop taking manana recs
flam__,<:pepeHehe:756602276394696784>
tucks.,<a:POGGERS:761746231789617172>
tucks.,https://www.youtube.com/watch?v=4GzO-U09Uzc&ab_channel=HorizonServers
tucks.,https://www.twitch.tv/bamtna
fluuupsi,XD
tucks.,fuk
tucks.,
tucks.,maybe i dont crouch last corner on awp <:PepeL:654558983235043339>
tucks.,
fluuupsi,mbn almost gettin sub 40 on summit 102 tick wtf
afonsowo,for custom yawspeed on csgo
afonsowo,didnt u have an ahk or smth
tucks.,<@!299129908620427265> wat
afonsowo,<@!260064252985999360> link me the whole shenanigans for custom yaw on go?
careful_,Tucks said the rock bhop is where he stops
careful_,Ye
Deleted User,I remember seeing Tucks record on YouTube and didn’t know it got taken a while ago
Deleted User,Oh lmfao
careful_,Not tucks
careful_,It was noti's rec
Deleted User,?
careful_,<a:PepeLaughh:654912284849602560>
careful_,retaking?
Deleted User,txcks you planning on retaking interference?
melinder1,10/10
granis,<@!259797996777111552> rate this
careful_,ye
Deleted User,levi actually popped off today though
Deleted User,lmao
careful_,<:monkaThink:489551491590389790>
careful_,<@!260064252985999360>
dosta8971,i mean assume i go +1 sec without end sc how will he tell that i did the map again
dosta8971,wait how would he even check if i completed again
mako__o,<:WeirdHard:697130741066235954>
dosta8971,but i work 😦
mako__o,Just surf <a:KKatJAM:745420046607581295>
dosta8971,<:LULW:597892008735932416>
dosta8971,mate i havent surfed in 6 months
dosta8971,<:4HEad:695171979451564034>
mako__o,<:EZ:692440658052382778>
mako__o,Just improve
dosta8971,<:LULW:597892008735932416>
mako__o,"“For confirmation if you already have a PR you can still enter the contest, all you need to do is complete the map again in the next two weeks and that is the run which will count.”"
dosta8971,why does he do this to me
dosta8971,<:Sadge:695171994815168522>
mako__o,<:peepoWew:470743536929603585>
dosta8971,so i lose my wr here <:LULW:597892008735932416>
dosta8971,fuck
dosta8971,<:LULW:597892008735932416>
mako__o,<@466005959748091918> https://youtu.be/Qe25JX5Jc7c
dosta8971,i dont see my name there must be bugged
marble._,Marble <:POGGERS:733369086511284315>
louieismyname,this is actually him climbing back up
louieismyname,caff already was sub 100 for a while
careful_,<a:SadgeCry:746223267148202044>
careful_,who farmed him down
careful_,wasnt he at like 120
careful_,wtf happened to rulldar
tucks.,1 hunnit
careful_,<a:SadgeCry:746223267148202044>
careful_,caff almost sub 100
mako__o,<:POGGERS:733369086511284315>
tucks.,I’m famous!
tucks.,Wait I made it
tucks.,
careful_,<:LULW:536501030582747139>
careful_,true
usrnm.,they mis typed the release date as 2021 instead of 2031 <:sad:582294017203503104>
careful_,<a:PepeLaughPoint:705698648956076062>
granis,
dosta8971,<:PepeLaugh:540053796995465217>
mako__o,<:dafuqsmile:692440835219914813>
mako__o,https://store.steampowered.com/app/669270/Momentum_Mod/
tucks.,<:PepeL:654558983235043339>
afonsowo,u would be looking at 16:9 1440p gameplay
afonsowo,if i did it mate
tucks.,unluck lol
tucks.,just saw  the end
tucks.,oh nvm
tucks.,shame u did it in wide res tho
tucks.,nice 1
tucks.,<@!299129908620427265>
afonsowo,the very last wrap isnt too fast though
granis,<:txcksPoggersHow:705466556296986634>
afonsowo,"idk i made it up in 5 minutes, didnt really think about it too much, was based on intuition"
afonsowo,def something to try
granis,so you can go from 2nd to top and not have to turn too fast wrapping from top to top
granis,towards the end wouldnt it be better to wrap the 2nd level to the same height
afonsowo,doable!
afonsowo,https://streamable.com/l8q3qa
afonsowo,<@!260064252985999360>
careful_,<:PogU:710231803440529448>
careful_,https://youtu.be/uv8BhY_1IA0
mako__o,<:arnoldHalt:691019152487350302>
donoes,lol
oxiics,<:mmno:588220466733514752>
oxiics,https://youtu.be/iLhgcjiDO_A
marble._,<:sadhug:495584478777966603>
oxiics,I love fucking up a top 10 on last stage 🙂
marble._,king of the wing <:KEKW:654960948817166356> <:dafuqsmile:656917104255172671>
granis,lol
ben_boo,with joe
ben_boo,let me test it
ben_boo,thts amazing
tucks.,<@124446795400085504> will you help me make possibly the best map ever made
tucks.,I have never been more excited in my life
tucks.,
tucks.,<@158683590811451392>
tucks.,https://www.twitch.tv/hsk1903
kyzloh,okay ty
caff,It’s in my twitch chat if you type !hud
kyzloh,does someone have the ezhud download link
tucks.,https://youtu.be/BXs0rFitP54?t=224
granis,true
pawz77,You should rebeat
granis,its just boarding the ramp thats inconsistent
granis,you can do it other direction too
pawz77,That looks annoying
pawz77,Oh lol
granis,i think this was before i started using turnbinds
granis,https://youtu.be/SN6axPzYQXQ?t=57
granis,smh
granis,rest is choking hazard
pawz77,I havent even seen the skip
granis,and s6 has the dumb shortcut
granis,for some reason i cant do s5
granis,nah
pawz77,That upwards right spin sucks
granis,D:
pawz77,Shit is garbage to run
pawz77,”Free”
granis,so every stage is -1 sec now if you oneshot
granis,"map is actually so free on sh, since i got record they got rid of the stage transitions"
granis,<:PepeHands:547215106904162327>
pawz77,Im a boomer
granis,ur 2 years ahead of me tho <@!342639998732075018> :o
granis,idk what ur time even is
pawz77,granis > me on numbers
granis,numbers <:GWseremePeepoGGERS:402867853906280450>
pawz77,<:4WeirdChamp:695740122812907670>
grillzz,<:Kapp:585752615334313984>
grillzz,<@!342639998732075018>
grillzz,numbers is a great gorange map
granis,and now pyramid is also pretty dope
granis,xd
donuts42,oh
donuts42,which
granis,i also rly like surf_bonus
granis,ye
granis,imo grid is up there too
donuts42,grid is also kool
donuts42,its probably the gorange map that people will ahve the least issue with
donuts42,yes please
granis,i should continue with that project <:PepoThink:697133815600250950>
granis,i actually have a working css version of that one
donuts42,what about castlewalls
granis,i only do css -> csgo
granis,thats a csgo only map isnt it
careful_,<:GWvertiPeepoSadMan:405951684339302400>
careful_,surf_salvador when
granis,<:granisSmile:744636244478263396>
mako__o,<:peepoWew:470743536929603585>
mako__o,means ur doing a good job
granis,checkmarks are ported to go by me
granis,csgo skill surf section
granis,i find this funny and sad
fishoo1,like i still went + on end
fishoo1,since i was -09
fishoo1,with old end
fishoo1,yea this run woulda easily been wr even if i mooned end a bit
tucks.,new zone is +0.1 to current
tucks.,or atleast fair
tucks.,to make it beatable
tucks.,to current wr
tucks.,if anything we had to add time
merkycinq,oh
merkycinq,surfing tube would be faster no?
tucks.,its furtehr back now
tucks.,yea but
merkycinq,i thought endzone was on the floor before
tucks.,we made it even
tucks.,<@!473443323076542466> new endzone =/= to faster time
merkycinq,interested to see how low it goes
merkycinq,damn
fishoo1,but i was -.09 to levi on last cp
merkycinq,ah mb
fishoo1,yea
merkycinq,wait is this with new endzone?
merkycinq,ok <@!377492713743843339>
careful_,n1
tucks.,Ruined sleep pattern again already
tucks.,Idk tbh
careful_,"""gonna sleep after stream"" like 2hrs ago"
careful_,wtf are you doing up
careful_,yea wait
tucks.,I’ll have to look through yt history  tomorrow
tucks.,<@387618687840026625> I acrually don’t know
careful_,<:pepeOK:547215107030122496>
careful_,still liked and subbed because granis
oxiics,exwho?
granis,it was deserved
granis,he subbed just before the run
careful_,<:GWsetmyxPeepoWeird:405337568155009024>
careful_,until the exu shoutout
careful_,i subbed and liked
mako__o,<:PogU:478947245354516490>
granis,go like plz and subscrib https://youtu.be/5YmjeQalQ84
careful_,i want it for playlist
careful_,m8 wtf was that song on nyx
careful_,<:PepeLaugh:697133728429768734>
careful_,
tucks.,chat
tucks.,fake thats from pokis cht
careful_,
tucks.,<:4WeirdW:659237184817332234>
tucks.,proof or didnt happen
careful_,<:GWvertiPeepoCheer:405951688885665792>
careful_,i was there
tucks.,https://www.youtube.com/watch?v=G3AmVhUo7ZM&t=28s&ab_channel=TwitchTVtxcks
granis,oh i should do the same with my shodan wr clip
pawz77,Yes
tucks.,shall i spam it with uploads of old highlights
royalerino,<a:Monky:663718458651049994>
tucks.,i made channel
tucks.,https://youtu.be/M_jzRj3JGrI
tucks.,ok so
careful_,<:pepeOK:547215107030122496>
careful_,you could
granis,should just start uploading css recs that were taken on the surfheaven server
careful_,<:pokiClout:670995056869769247>
careful_,rename it tucksheaven
granis,<:PokiChamp:751944731361017907>
careful_,<:pepeOK:547215107030122496>
careful_,just give tucks the surfheaven account
careful_,LOL
careful_,applying for a job with ainsley pic
granis,so its like a separate youtube channel tied to your email
granis,"honestly not sure, i know its called a brand account"
tucks.,how
granis,theyre like youtube specific
granis,
tucks.,hence why i have blank pic now
tucks.,with an ainsley harriett pic
tucks.,so ive applied for a job before
tucks.,i use this email for jobs n shit
granis,you can make like a brand account
tucks.,problem is
tucks.,yea but
granis,you dont even have to make another google account
tucks.,FUCk it shall i make a y outube
granis,??
tucks.,even if its 144p
tucks.,twitter can be my video dump
tucks.,https://twitter.com/txcksTTV/status/1303798565710553090
tucks.,<@!124446795400085504> yea but its the making of the account that i cba to do lol
granis,just dl then upload right away
granis,theres a download button for highlights in the video producer thing i think
careful_,if people want to watch live wr they can just go to highlights
careful_,thats why i just said to highlight lmao
tucks.,but so much effort
tucks.,to upload wr highlights
tucks.,i should use youtube
careful_,"always good to highlight, so its just there :/"
tucks.,highlighted anyway
tucks.,https://www.twitch.tv/videos/736315231
tucks.,and i bet i can sub41 in loc with it
tucks.,ill steal my cp1 loc
careful_,sub41 on css would be nuts
tucks.,yeh i reckon i could sub 41
careful_,you could def do more now
careful_,you savelocked like -.13 a few months ago off levis rec
tucks.,ngl
tucks.,my cp1 was fucking insane tho
tucks.,for being down units
tucks.,but i wouldve lost time at the end
tucks.,i wouldve been -0.10
tucks.,basically if i landed flat
careful_,-07
careful_,that run was insane either way
careful_,weird
careful_,ah
tucks.,just optional
tucks.,so its like
tucks.,but flat is better cut
careful_,like fornax
tucks.,curve gives +20
careful_,flat bit faster?
tucks.,whereas he lands on flat bit
tucks.,i delay onto ramp to land on curve
tucks.,if u look 18 secs into run
tucks.,like
tucks.,did it to get more units
careful_,because you stayed -07
careful_,was your cp2 to end kinda eh?
tucks.,but sure
tucks.,probs get beat soon knowing my luck lol
careful_,so its always on the channel
careful_,highlight it
tucks.,https://www.twitch.tv/videos/736240265?t=00h39m50s
careful_,<:pepeOK:547215107030122496>
careful_,Jimmy neutron best cartoon
donuts42,enjoyable to play for sure
donuts42,this is probably one of the easiest chopin pieces
donuts42,https://www.youtube.com/watch?v=eN5z1mu6j4M&ab_channel=Kassia
donuts42,<@!136203836036612097> i'll keep posting piano stuff
louieismyname,woo gj!
weazr,Im glad i did
weazr,What a sick song
weazr,Ok I relearned fly
louieismyname,gn kusche :)
kusche,Gn
kusche,ok i will give my best effort at sleeping
weazr,So Ill brb
weazr,Ok I wanna relearn fly
kusche,wish i was on pc could lsiten easier
louieismyname,i like it :)
weazr,Ok im sorry ill stop posting piano stuff now
weazr,This is the 2nd song i learned
weazr,https://www.youtube.com/watch?v=rVcKinb-xKA
weazr,His works are relativly simple to play and they sound super nice
louieismyname,oooo johnny test
kusche,only hesr it in random stuf lol
kusche,<@136203836036612097> i never knew the name of this
royalerino,i hated courage the cowardly dog
royalerino,i watched a bunch of shit
royalerino,maybe johnny test? idk
weazr,Super robot monkey team hyper force go
royalerino,<:LULW:718128933228511342>
royalerino,whatever was oncartoon network
louieismyname,was urs growing up
louieismyname,what cartoon
royalerino,no
louieismyname,<@!157964464392634368> digimon lad?
weazr,You should check out Ludovicos work
royalerino,i'll take my leave
weazr,This is an easy one
royalerino,... i was never a pokemon guy
weazr,https://www.youtube.com/watch?v=-8X_aMT5z0A
weazr,oooooo kusche
kusche,but yeah i also had the lugia movie
louieismyname,the old OG pokemon movies slapped
kusche,very sad movie indeed...
kusche,havent seen new one
royalerino,<:LOLW:739238467044638771>
weazr,We dont talk about that
royalerino,they remade it though <:PepeLaugh:697133728429768734>
weazr,is one of my all time fav
weazr,That movie
weazr,DUDE
kusche,Of the mewtwo movie
kusche,and even a VHS
kusche,also i have some dvds
kusche,well they showed it in tv :D
kusche,haha
weazr,Fuck
weazr,Ok Ive watched pokemin
royalerino,it is an anime
royalerino,pokemon counts
weazr,"DB, DBZ and DBS"
kusche,unless pokemon and digimon counts
royalerino,"tbh i've never watched dbz, naruto or one piece"
kusche,ive ONLY watched dbz
kusche,no royal
royalerino,not even naruto or something?
kusche,btw thst song idk why but i just never enjoyed it pol
weazr,But its the ENTIRETY of db
weazr,Dude Ive only ever watched one anime
kusche,the only weeb i support is dbz
weazr,So I keep on forgetting them
weazr,https://www.youtube.com/watch?v=kWKvNqTdvB8 I also knew this for a while but I never maintain my songs
weazr,hello fellow weebs
weazr,brb getting role
weazr,Cool im a weebn
royalerino,yeah thats good ednough
weazr,I can do that
weazr,The meme
weazr,Does that count?
weazr,I know the cool part from Giornos THeme
royalerino,yeah we can move this chat to somewhere else
kusche,oh its still a weeb chat...
royalerino,but might be hard
royalerino,personally prefer this song
royalerino,https://www.youtube.com/watch?v=Pse7g703tlk
weazr,Ok im now surfing youtube weeb ost piano songs for inspo
weazr,: (
weazr,Or hard version but its way too hard
weazr,Its either easy version and it sounds poopoo
louieismyname,i believe in u
weazr,but stopped
weazr,I really got into learning bad apple at one point
royalerino,and it's nice to listen to
weazr,Im a non nitro scrub
royalerino,like that entire ost could be learnable
louieismyname,smh
louieismyname,the correct way to high five
louieismyname,<:arnoldstop:727891222433366126>
weazr,Hey same Louie up top 👋
royalerino,what do u mean i sent that message tommorow <:monkS:712210058296950814>
louieismyname,learn it weaz <:Pog:546785372407857162>
louieismyname,i can only take them in batches
weazr,I like the vibe to it too
louieismyname,i've saved a lot of depressing anime because my life is already depressing enough lol
weazr,This seems hard but doable
royalerino,sus
royalerino,je
louieismyname,haven't seen that yet
royalerino,that shit gets me in tears thinking about it
royalerino,"tbh though, no anime i've watched hits me harder than violet evergarden"
louieismyname,dude that anime made me love chopins stuff
weazr,10 gifted and i learn
royalerino,the feels
royalerino,yeah
louieismyname,THE FEELS
royalerino,music anime where the main character plays piano
louieismyname,YOUR LIE IN APRIL
weazr,So shoot
weazr,"I love halfway learning songs, then giving up and never doing them"
royalerino,https://www.youtube.com/watch?v=VaFRVg7iktU
royalerino,that you could maybe do
weazr,Oh yeah just got into 30 sec
royalerino,i got a weeb ost
royalerino,WAIT
royalerino,yeah that unravel vid seems too insane to try
weazr,But I swear some weeb ost goes hard
weazr,THis is too hard 😦
louieismyname,you're making me want to learn piano now <:monkaW:728279887269593118>
weazr,"benni, gimme 15 years and maybe"
royalerino,the opening version slaps
royalerino,nah that's only for the acoustic version
louieismyname,<a:pepejamsad:585808323094249473>
royalerino,<a:PepeJamJam:541215990353100800>
royalerino,https://www.youtube.com/watch?v=xFMPBPOy9SI
ben_boo,where is the chopin and bach lads
kusche,and tron ive only seen in kingdom hearts
kusche,was a fkin toddler when i saw kung funpanda
kusche,too bad i dont recognize either of these :/
weazr,"Yeah Its too hard for me too, but maybe one day :^)"
kusche,cuz everything os pff sync and lopks weird
kusche,i dont tjink id learn if off of this lol
weazr,https://www.youtube.com/watch?v=Xgd8EvhpkjQ
weazr,https://www.youtube.com/watch?v=LIboeVN58nM
weazr,Ill leave you with two of my absolute favorite piano songs ever
weazr,But could always simplify
weazr,"I was thinking the same, then 2:15 happened"
kusche,holy fk i might take it up to learn this one
weazr,Kaer Morhen theme is so good
kusche,and can pinpoint like half the tracks
kusche,from witcher i know every fucking minute of it from start to end
weazr,Is so fucking good
weazr,This song
weazr,https://www.youtube.com/watch?v=b4RoxTZwfsY
kusche,yezzsir
weazr,Have you played The Witcher 3?
kusche,s8 i remember some things certainly
kusche,honestly i have no fucking clue what happened in s7
weazr,Whole of s7 and 8 is a blur
weazr,Same haha
